Product,Brewer_Value,Brand_Value,Package_Value,Segment_Value,AB_Segment_Value,AB_Subsegment_Value,AB_Megasegment_Value,Date,Display_Count,Display_Share,Distribution,Feature_Count,Feature_Share,Price_per_Unit,Price_per_Volume,Unit_Sales,Volume_Sales,Volume_Share_of_Category, Average_of_Max_TemperatureC , Average_of_Mean_TemperatureC , Average_of_Min_TemperatureC ,Average_of_Dew_PointC , Average_of_MeanDew_PointC , Average_of_Min_DewpointC , Average_of_Max_Humidity , Average_of_Mean_Humidity , Average_of_Min_Humidity , Average_of_Max_Sea_Level_PressurehPa , Average_of_Mean_Sea_Level_PressurehPa , Average_of_Min_Sea_Level_PressurehPa ,Average_of_Max_VisibilityKm , Average_of_ Mean_VisibilityKm , Average_of_Min_VisibilitykM ,Average_of_Max_Wind_SpeedKmh ,Average_of_Mean_Wind_SpeedKmh ,Average_of_Max_Gust_SpeedKmh,Average_of_Precipitationmm ,Average_of _CloudCover ,Average_of _WindDirDegrees ,State_GDP,Alcohol_Retail_Trade_employees ,State_Personal_income,Resident_Population_in_city,Per_Capita_Personal_Income_in_city,Occupancy,Labor_Force_in_city,Employment_in_city,Unemployment_in_city,Unemp_Rate_in_city,Consumer_Price_Index_MaltBeverages,Consumer_Price_Index_Wine,Producer_Price_Index_by_Industry
BRAND2 24-PACK 11.2-13 OZ GLASS,COMPETITOR1,BRAND2,24-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,CRAFT,ABOVE CORE,09-01-2013,0,,0.332592373,,,26.8522537,26.8522537,1047,1046.682948,0.081903295,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND2 6-PACK 11.2-13 OZ GLASS,COMPETITOR1,BRAND2,6-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,CRAFT,ABOVE CORE,09-01-2013,116,0.364823502,0.882774294,,0,10.07342303,40.29369211,10411,2602.850931,0.203673966,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND12 12-PACK 11.2-13 OZ GLASS,COMPETITOR1,BRAND12,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,CRAFT,ABOVE CORE,09-01-2013,0,,0.861034564,,,14.2619439,28.5238878,7193,3596.68319,0.281441677,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND14 6-PACK 11.2-13 OZ GLASS,COMPETITOR1,BRAND14,6-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,CRAFT,ABOVE CORE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND146 4-PACK 16 OZ CAN,ABI,BRAND146,4-PACK 16 OZ CAN,CRAFT/IMPORT,HE BEER,IMPORT,ABOVE CORE,09-01-2013,0,,0.491411996,,,8.536674845,38.41887869,2968,659.531177,0.051608538,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND6 12-PACK 11.2-13 OZ GLASS,COMPETITOR3,BRAND6,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,09-01-2013,0,,0.592012211,,,13.97302089,27.94604177,3186,1592.783339,0.124635835,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND317 SINGLES 25 OZ CAN,ABI,BRAND317,SINGLES 25 OZ CAN,VALUE,VALUE,VALUE REGULAR,CORE & VALUE,09-01-2013,0,,0.207273998,,,2.442654057,28.14117578,5506,477.8896354,0.037395026,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND317 SINGLES 32 OZ BTL,ABI,BRAND317,SINGLES 32 OZ BTL,VALUE,VALUE,VALUE REGULAR,CORE & VALUE,09-01-2013,0,,0.904831024,,,2.918488737,26.26902553,39352,4372.025438,0.34211247,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 12-PACK 11.2-13 OZ GLASS,ABI,BRAND261,12-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0.962543632,,,11.31497204,22.62994409,10315,5157.333611,0.403563101,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 12-PACK 12 OZ CAN,ABI,BRAND261,12-PACK 12 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0.991650474,,,11.27836289,22.55672579,26543,13271.59211,1.038506574,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 12-PACK 16 OZ AMBTL,ABI,BRAND261,12-PACK 16 OZ AMBTL,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 12-PACK 8 OZ CAN,ABI,BRAND261,12-PACK 8 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0.411478469,,,7.231397548,21.69636228,5138,1712.395998,0.133995566,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,66,0.206586525,0.141753794,85,0.161650378,13.62699139,18.16932185,2738,2053.435795,0.160682046,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 18-PACK 12 OZ CAN,ABI,BRAND261,18-PACK 12 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,242,0.760993158,0.609215611,85,0.161650378,14.41624603,19.22166137,22562,16921.61297,1.324121943,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 20-PACK 11.2-13 OZ GLASS,ABI,BRAND261,20-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,430,1.351171072,0.944546508,324,0.618630941,15.21954733,18.26418737,22768,18972.34645,1.484592531,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 20-PACK 12 OZ CAN,ABI,BRAND261,20-PACK 12 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,190,0.596983913,0.475757443,292,0.557560293,15.21711219,18.26126508,12864,10719.95831,0.838840366,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 20-PACK 16 OZ AMBTL,ABI,BRAND261,20-PACK 16 OZ AMBTL,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 24-PACK 11.2-13 OZ GLASS,ABI,BRAND261,24-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 24-PACK 8 OZ CAN,ABI,BRAND261,24-PACK 8 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0.387715247,,,12.79271985,19.18812037,2100,1399.883206,0.109541335,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 30-PACK 12 OZ CAN,ABI,BRAND261,30-PACK 12 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,935,2.935506556,0.577894798,1012,1.932124502,18.64689025,14.9175122,45019,56273.47514,4.403418476,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 36-PACK 12 OZ CAN,ABI,BRAND261,36-PACK 12 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,376,1.179540211,0.430574567,412,0.785958486,21.95987017,14.63991345,48165,72247.10286,5.653360252,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 3-PACK 25 OZ CAN,ABI,BRAND261,3-PACK 25 OZ CAN,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0.936663079,,,6.280431792,24.11840166,43953,11445.23621,0.895593608,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 6-PACK 11.2-13 OZ GLASS,ABI,BRAND261,6-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0.972223305,,,7.584321023,30.33728409,9946,2486.610309,0.194578098,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND261 8-PACK 16 OZ AMBTL,ABI,BRAND261,8-PACK 16 OZ AMBTL,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND272 12-PACK 8 OZ CAN,ABI,BRAND272,12-PACK 8 OZ CAN,PREMIUM PLUS,CORE,PREMIUM PLUS,CORE & VALUE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND272 3-PACK 25 OZ CAN,ABI,BRAND272,3-PACK 25 OZ CAN,PREMIUM PLUS,CORE,PREMIUM PLUS,CORE & VALUE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND272 SINGLES 25 OZ CAN,ABI,BRAND272,SINGLES 25 OZ CAN,PREMIUM PLUS,CORE,PREMIUM PLUS,CORE & VALUE,09-01-2013,0,,0.930740894,,,3.765569108,43.38213258,29619,2570.930138,0.201176153,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND275 12-PACK 11.2-13 OZ GLASS,ABI,BRAND275,12-PACK 11.2-13 OZ GLASS,PREMIUM PLUS,CORE,PREMIUM PLUS,CORE & VALUE,09-01-2013,0,,0.926679782,,,12.3798989,24.75979779,6858,3429.165998,0.2683334,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
